 t   u   y   y_sim
  0.10000000000000001        1.2681587959659641        1.5181549812686985        1.4843386877093199     
  0.20000000000000001        1.3373360532083558        1.5215672152795838        1.4059996157758157     
  0.30000000000000004        1.4060687218454193        2.4185884644050470        2.4943586881354309     
  0.40000000000000002        1.4742250900061533        3.0845860699525232        3.1370238772669472     
  0.50000000000000000        1.5416744305442782        3.6722310529123900        3.7737862092511421     
  0.60000000000000009        1.6082873116853567        4.3560698090827463        4.3165881537374711     
  0.70000000000000007        1.6739359045529567        4.9965063145175570        4.8065021473826004     
  0.80000000000000004        1.7384942868116360        5.2363326568086306        5.2478038602309507     
  0.90000000000000002        1.8018387416741795        5.5794835211520368        5.6509617566098029     
   1.0000000000000000        1.8638480515320672        5.7453265464854146        6.0223648191990087     
   1.1000000000000001        1.9244037854815415        6.2501869357468767        6.3674518357994083     
   1.2000000000000002        1.9833905800328535        6.5351075184052094        6.6903283607542976     
   1.3000000000000000        2.0406964123072489        6.7053142651801547        6.9941916867987404     
   1.4000000000000001        2.0962128650449836        7.3153609342050521        7.2814832892868520     
   1.5000000000000000        2.1498353827680585        7.7071136403324942        7.5540571699705348     
   1.6000000000000001        2.2014635184634290        7.8690105517723090        7.8133017783215717     
   1.7000000000000002        2.2510011701760564        8.0267102292227275        8.0602400650444572     
   1.8000000000000000        2.2983568069263409        8.5251155299397663        8.2956083486374990     
   1.9000000000000001        2.3434436833930903        8.6709712753753809        8.5199193173414614     
   2.0000000000000000        2.3861800428311684        9.0695235234225020        8.7335121771566442     
   2.1000000000000001        2.4264893077223433        9.1702509120887790        8.9365926451237900     
   2.2000000000000002        2.4643002576884019        9.2234203021308367        9.1292648523985349     
   2.3000000000000003        2.4995471942273788        9.3593317625010890        9.3115568161289524     
   2.4000000000000004        2.5321700918666146        9.3024728622713901        9.4834407921363777     
   2.5000000000000000        2.5621147353601961        9.3801006825529871        9.6448495512270647     
   2.6000000000000001        2.5893328425931723        9.5915370678106200        9.7956894066277709     
   2.7000000000000002        2.6137821728905393        9.9585935165942523        9.9358506494824450     
   2.8000000000000003        2.6354266204654198        9.9356482741484289        10.065215913835900     
   2.9000000000000004        2.6542362927778811        10.153709221941638        10.183666884979051     
   3.0000000000000000        2.6701875736134961        10.130359017296836        10.291089679648563     
   3.1000000000000001        2.6832631707288188        10.081709605452856        10.387379158806354     
   3.2000000000000002        2.6934521479494506        10.135797719328091        10.472442379941873     
   3.3000000000000003        2.7007499416451242        10.407849782269857        10.546201353164022     
   3.4000000000000004        2.7051583615451840        10.669300497148365        10.608595231492991     
   3.5000000000000000        2.7066855758968869        10.525257350734639        10.659582038909257     
   3.6000000000000001        2.7053460810079795        10.721182782807775        10.699140018425568     
   3.7000000000000002        2.7011606552539220        10.626747157122841        10.727268665572481     
   3.8000000000000003        2.6941562976688767        10.559620391764089        10.743989499319401     
   3.9000000000000004        2.6843661512779828        10.375344452053531        10.749346611869408     
   4.0000000000000000        2.6718294113664811        10.566737453374735        10.743407030392582     
   4.1000000000000005        2.6565912189187846        10.660276637995755        10.726260917144682     
   4.2000000000000002        2.6387025394975572        10.369250149741340        10.698021629193285     
   4.2999999999999998        2.6182200278691168        10.356584110680803        10.658825654854549     
   4.4000000000000004        2.5952058787170311        10.239132600742341        10.608832440702374     
   4.5000000000000000        2.5697276638203821        10.202680819422177        10.548224120466610     
   4.6000000000000005        2.5418581561069278        10.416638856735414        10.477205155143576     
   4.7000000000000002        2.5116751410240594        10.204847418137692        10.396001892086588     
   4.8000000000000007        2.4792612157020217        9.9934911519399510        10.304862049634924     
   4.9000000000000004        2.4447035764142804        10.106306083670388        10.204054132904595     
   5.0000000000000000        2.4080937948690182        9.9914139343052888        10.093866785646146     
   5.1000000000000005        2.3695275838935665        9.7585636964755267        9.9746080825271424     
   5.2000000000000002        2.3291045530999295        9.7173740325580589        9.8466047657844253     
   5.3000000000000007        2.2869279551445052        9.7163687094920022        9.7102014298841173     
   5.4000000000000004        2.2431044232184769        9.6431789684617808        9.5657596576029036     
   5.5000000000000000        2.1977437004271305        9.5187929367227930        9.4136571107841860     
   5.6000000000000005        2.1509583617365182        9.4878960693675953        9.2542865789121258     
   5.7000000000000002        2.1028635291843147        9.2332512025821956        9.0880549885746511     
   5.8000000000000007        2.0535765810684357        8.8433480985432897        8.9153823768427038     
   5.9000000000000004        2.0032168558418979        8.5285996761036351        8.7367008315712127     
   6.0000000000000000        1.9519053514554991        8.6467600743650017        8.5524534016205305     
   6.1000000000000005        1.8997644209011559        8.1529678409309767        8.3630929800014471     
   6.2000000000000002        1.8469174647180786        8.0828300035520400        8.1690811629579265     
   6.3000000000000007        1.7934886212314369        7.8649996548573275        7.9708870880169984     
   6.4000000000000004        1.7396024552986991        7.7832933298723921        7.7689862540520336     
   6.5000000000000000        1.6853836463424139        7.2999592830678930        7.5638593264219169     
   6.6000000000000005        1.6309566764498682        7.2297713539431241        7.3559909302632942     
   6.7000000000000002        1.5764455193197380        7.1332488792256310        7.1458684350243491     
   6.8000000000000007        1.5219733308335994        7.1006742024914615        6.9339807333360097     
   6.9000000000000004        1.4676621420259817        6.5774293839536693        6.7208170173188719     
   7.0000000000000000        1.4136325552204885        6.6906412651206040        6.5068655554211849     
   7.1000000000000005        1.3600034440914932        6.3493279670966949        6.2926124728743638     
   7.2000000000000002        1.3068916584009427        6.2121449972309062        6.0785405388372986     
   7.3000000000000007        1.2544117341479901        6.0592753605468337        5.8651279632790541     
   7.4000000000000004        1.2026756098555231        5.5784408365863243        5.6528472066211757     
